School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Geocode,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
2016 - 17,P.S. 226,X226,X,10,560,730 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION,3,525,SAMUEL GOMPERS HS,Bronx Leadership Academy II High School |  New Explorers High School |  Urban Assembly School for Careers in Sports |  730 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"1950 SEDGWICK AVENUE\n(40.859401, -73.913688)",10453,40.856586,-73.916198,5,14,249,2096465,2032220100,University Heights-Morris Heights
2016 - 17,P.S. 150 Charles James Fox,X150,X,12,1354,360 EAST 145 STREET CONSOLIDATED LOCATION,2,446,JHS 145X,South Bronx Preparatory: A College Board School |  M.S. 223 The Laboratory School of Finance and Tech |  360 EAST 145 STREET CONSOLIDATED LOCATION,0,2,2,1,1,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"920 EAST 167 STREET\n(41.744059, -92.717704)",10459,40.82636,-73.894398,2,17,12701,2005681,2027170005,Hunts Point
2016 - 17,NEW HEIGHTS ACADEMY CHARTER SCHOOL(MN),M353,M,6,247,,1,569,PREGNANT TEENS PROGRAM,City Knoll Middle School,0,1,2,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"1818 Amsterdam Ave\n(40.82846, -73.945254)",10031,40.828498,-73.945239,9,7,237,1062155,1020820028,Hamilton Heights
2016 - 17,Urban Assembly School for Applied Math and Science,X241,X,9,62,3450 EAST TREMONT AVENUE CONSOLIDATED LOCATION,4,NaN,#N/A,Hospital Schools - Brooklyn|  Hospital Schools|  Hospital Schools - Bronx|  Home Instruction - Bronx|  3450 EAST TREMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"1595 BATHGATE AVENUE\n(40.839307, -73.901283)",10457,40.839244,-73.901316,3,16,167,2009555,2029130001,Claremont-Bathgate
2016 - 17,Lucero Elementary School,X311,X,9,619,,1,426,CS 057X,P.S. 063 Author's Academy,1,0,3,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"1425 WALTON AVENUE\n(40.505875, -78.391421)",10452,40.840096,-73.915569,4,16,223,2008098,2028430040,West Concourse
2016 - 17,Maspeth High School,Q585,Q,24,1037,45-35 VAN DAM STREET CONSOLIDATED LOCATION,2,1059,CAMPUS MAGNET HS (A.J. HS),Middle College High School at LaGuardia Community |  International High School at LaGuardia Community C |  45-35 VAN DAM STREET CONSOLIDATED LOCATION,0,2,0,2,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"54 40 74TH STREET\n(40.633834, -74.034539)",11373,40.729939,-73.887482,5,30,49302,4062864,4028030001,Maspeth
2016 - 17,P.S. 018 John G. Whittier,R018,R,31,146,80 MONROE AVENUE CONSOLIDATED LOCATION,2,1168,PS 004R,Fort Hill Collaborative Elementary School |P.S. 016 John J. Driscoll |80 MONROE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"221 BROADWAY\n(44.670997, -70.150068)",10310,40.636587,-74.117509,1,49,105,5004877,5001760010,New Brighton-Silver Lake
2016 - 17,"Elementary School for Math, Science, and Technolog",X382,X,10,961,1250 WARD AVENUE CONSOLIDATED LOCATION,2,377,PS 069X,P.S. 195 |  P.S. 196 |  1250 WARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"125 EAST 181 STREET\n(42.100209, -88.53166)",10453,40.854872,-73.903458,5,14,23704,2013849,2031700001,Fordham South
2016 - 17,P.S. 115 The James J. Ambrose School,Q115,Q,26,510,,1,911,PS 105Q,P.S. 112 Dutch Kills,0,1,1,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"80 51 261 STREET\n(36.075596, -82.091879)",11004,40.744099,-73.709845,13,23,157902,4178127,4087170001,Glen Oaks-Floral Park-New Hyde Park
2016 - 17,2195 ANDREWS AVENUE CONSOLIDATED LOCATION,X015,X,10,576,,1,329,CS 004X,P.S. X014 Senator John Calandra,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"2195 ANDREWS AVENUE\n(40.859034, -73.909528)",10453,40.85881,-73.909746,7,14,255,2096013,2032240009,Kingsbridge Heights
2016 - 17,P.S. Q255,Q255,Q,25,1159,,1,934,PS 160Q,P.S. 166 Henry Gradstein,0,0,1,0,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"158 40 76 ROAD\n(40.724557, -73.809394)",11366,40.724458,-73.810216,8,24,1257,4147847,4068260001,Kew Gardens Hills
2016 - 17,Hostos-Lincoln Academy of Science,X500,X,7,1313,600 SAINT ANN'S AVENUE CONSOLIDATED LOCATION,3,496,PS 156X,J.H.S. 162 Lola Rodriguez De Tio| Hostos-Lincoln Academy of Science| University Prep Charter High School| 600 SAINT ANN'S AVENUE CONSOLIDATED LOCATION,3,3,12,2,4,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,"600 SAINT ANN'S AVENUE\n(29.895006, -90.124169)",10455,40.815498,-73.91224,1,17,73,2004314,2026160001,Melrose South-Mott Haven North
2016 - 17,I.S. 117 Joseph H. Wade,X117,X,9,490,977 FOX STREET CONSOLIDATED LOCATION,3,394,PS 112X,School of Performing Arts | Entrada Academy | South Bronx Classical Charter School | 977 FOX STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1865 MORRIS AVENUE\n(42.264653, -83.183193)",10453,40.848516,-73.908427,5,14,23301,2007902,2028270001,Mount Hope
2016 - 17,P.S. 049 Dorothy Bonawit Kole,Q049,Q,24,355,,1,885,PS 040Q,P.S. 045 Clarence Witherspoon | 126-28 150 Street,0,0,3,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"63 60 80th Street\n(42.814884, -70.819712)",11379,40.719867,-73.875093,5,30,663,4069253,4029900045,Middle Village
2016 - 17,P.S. 396,X396,X,10,964,,1,517,PS/MS 015X,P.S. 024 Spuyten Duyvil,0,0,3,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"1930 ANDREWS AVENUE\n(40.854441, -73.913451)",10453,40.854701,-73.913197,5,14,24502,2014692,2032160002,University Heights-Morris Heights
2016 - 17,PS 536,X536,X,12,490,2750 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,385,PS 096X,P.S. X010 |  M.S. X101 Edward R. Byrne |  P.S. 304 Early Childhood School |  2750 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1827 ARCHER STREET\n(40.837631, -73.865937)",10460,40.837631,-73.866036,9,18,21601,2028640,2039210030,West Farms-Bronx River
2016 - 17,Luisa Pineiro Fuentes School of Science and Discov,X307,X,10,305,350 GERARD AVENUE CONSOLIDATED LOCATION,2,1431,New Explorers HS,Community School for Social Justice |  Health Opportunities High School |  350 GERARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"124 EAMES PLACE\n(40.869358, -73.901765)",10468,40.869296,-73.901525,8,14,26701,2115783,2032480062,Van Cortlandt Village
2016 - 17,121-10 ROCKAWAY BOULEVARD CONSOLIDATED LOCATION,Q226,Q,27,917,121-10 ROCKAWAY BOULEVARD CONSOLIDATED LOCATION,3,952,PS 219Q,J.H.S. 226 Virgil I. Grissom | Hawtree Creek Middle School | Epic High School - South | 121-10 ROCKAWAY BOULEVARD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"121 10 ROCKAWAY BOULEVARD\n(33.459605, -86.805314)",11420,40.675771,-73.816938,10,28,840,4253607,4117140100,South Ozone Park
2016 - 17,M.S. 390,X390,X,10,520,,1,517,PS/MS 015X,P.S. 023 The New Children's School,0,1,0,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"1930 ANDREWS AVENUE\n(40.854441, -73.913451)",10453,40.854701,-73.913197,5,14,24502,2014692,2032160002,University Heights-Morris Heights
2016 - 17,P.S. 032 State Street,Q032,Q,25,717,,1,1118,PS 24Q,P.S. 029 Queens,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"171 11 35 AVENUE\n(40.764736, -73.794429)",11358,40.764763,-73.794683,7,19,1141,4118954,4052560001,Murray Hill
2016 - 17,P.S. 025 Bilingual School,X025,X,7,870,270 EAST 167 STREET CONSOLIDATED LOCATION,2,362,P012X,J.H.S. 022 Jordan L. Mott |  Bronx Writing Academy |  270 EAST 167 STREET CONSOLIDATED LOCATION,0,3,7,0,2,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"811 EAST 149 STREET\n(41.721512, -72.416639)",10455,40.812619,-73.906063,1,8,79,2004772,2026640001,Melrose South-Mott Haven North
2016 - 17,I.S. 145 Joseph Pulitzer,Q145,Q,30,388,,2,1394,PS 136 Annex,Queens Transition Center | Queens Academy | 142-10 Linden Boulevard,2,8,14,3,6,3C,251-500,0.27,0.9,1.67,0.63,0.44,"33 34 80 STREET\n(40.754437, -73.887063)",11372,40.754661,-73.887112,3,25,285,4442764,4012520001,Jackson Heights
2016 - 17,Urban Assembly School for Careers in Sports,X548,X,7,232,,1,525,SAMUEL GOMPERS HS,P.S. 051 Bronx New School,0,0,0,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"730 CONCOURSE VILLAGE WEST\n(40.822117, -73.923948)",10451,40.82231,-73.923829,4,17,61,2103486,2024430078,East Concourse-Concourse Village
2016 - 17,High School of American Studies at Lehman College,X696,X,10,461,350 GERARD AVENUE CONSOLIDATED LOCATION,2,1431,New Explorers HS,Community School for Social Justice |  Health Opportunities High School |  350 GERARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"2925 GOULDEN AVENUE\n(40.875236, -73.894358)",10468,40.873938,-73.895382,8,11,409,2015222,2032460002,Van Cortlandt Village
2016 - 17,Catherine & Count Basie Middle School 72,Q072,Q,28,1035,,1,896,PS 062Q,P.S. 069 Jackson Heights | 77-02 37th Avenue,0,0,0,0,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"133 25 GUY R BREWER BOULEVARD\n(40.674615, -73.776526)",11434,40.673769,-73.775951,12,28,33402,4270059,4124950270,Springfield Gardens North
2016 - 17,J.H.S. 125 Henry Hudson,X125,X,8,325,1025 MORRISON AVENUE CONSOLIDATED LOCATION,2,1132,IS 216X,J.H.S. 123 James M. Kieran |  The School for Inquiry and Social Justice |  1025 MORRISON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1111 PUGSLEY AVENUE\n(40.829249, -73.856725)",10472,40.829232,-73.856734,9,18,4001,2025717,2037900040,Soundview-Bruckner
2016 - 17,Long Island City High School,Q450,Q,30,2386,,1,964,SPRINGFIELD GARDENS HS,William Cullen Bryant High School,2,8,7,3,2,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,"14 30\n(42.252435, -89.073917)",11106,40.765826,-73.9328,1,22,45,4467709,4005290002,Astoria
2016 - 17,The Walton Avenue School,X294,X,9,695,,1,NaN,#N/A,P.S. 062 Inocensio Casanova,0,1,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"1425 WALTON AVENUE\n(40.505875, -78.391421)",10452,40.840096,-73.915569,4,16,223,2008098,2028430040,West Concourse
2016 - 17,P.S. 036 J. C. Drumgoole,R036,R,31,676,,1,990,PS 020R,P.S. 032 The Gifford School,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"255 IONIA AVENUE\n(40.542968, -74.182384)",10312,40.543083,-74.182299,3,51,17005,5107742,5062620012,Annadale-Huguenot-Prince's Bay-Eltingville
2016 - 17,Hospital Schools - Brooklyn,K403,X,8,766,350 GERARD AVENUE CONSOLIDATED LOCATION,2,1431,New Explorers HS,Community School for Social Justice |  Health Opportunities High School |  350 GERARD AVENUE CONSOLIDATED LOCATION,1,11,28,4,8,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"3450 EAST TREMONT AVENUE\n(40.831981, -73.827352)",10465,40.832117,-73.82749,10,13,166,2079386,2055310021,Schuylerville-Throgs Neck-Edgewater Park
2016 - 17,Science and Technology Academy: A Mott Hall School,X454,X,9,1426,250 EAST 164 STREET CONSOLIDATED LOCATION,3,355,MS 158X,Bronx Early College Academy for Teaching & Learnin |  Grant Avenue Elementary School |  Science and Technology Academy: A Mott Hall School |  250 EAST 164 STREET CONSOLIDATED LOCATION,0,3,4,3,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"250 EAST 164 STREET\n(42.237658, -72.553306)",10456,40.828696,-73.917668,4,16,18302,2002497,2024460043,East Concourse-Concourse Village
2016 - 17,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,R074,R,31,452,,1,979,NEW DORP HS,THE RICHARD H. HUNGERFORD SCHOOL,0,1,2,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"211 DANIEL LOW TERRACE\n(40.638969, -74.079916)",10301,40.639087,-74.079922,1,49,11,5000290,5000180006,West New Brighton-New Brighton-St. George
2016 - 17,P.S. 017 Henry David Thoreau,Q017,Q,30,1606,,1,849,IS 008Q,P.S. 013 Clement C. Moore,0,0,0,0,0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,"28 37 29 STREET\n(34.675444, -84.537448)",11102,40.768985,-73.922428,1,22,71,4007663,4005940001,Old Astoria
2016 - 17,P.S. 011 Highbridge,X011,X,9,756,,1,328,Eximius College Preparatory Academy,Milton Fein School,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"1257 OGDEN AVENUE\n(42.300602, -85.602183)",10452,40.839378,-73.925714,4,16,201,2003519,2025290081,Highbridge
2016 - 17,P.S. 181 Brookfield,Q181,Q,29,534,,1,871,MS 172Q,P.S./ IS 178 Holliswood,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"148 15 230 STREET\n(40.065642, -80.714097)",11413,40.656126,-73.753207,13,31,694,4291453,4137180001,Springfield Gardens South-Brookville
2016 - 17,1440 STORY AVENUE CONSOLIDATED LOCATION,X972,X,8,1422,1595 BATHGATE AVENUE CONSOLIDATED LOCATION,3,337,FANNIE LOU HAMMER HS,Urban Assembly School for Applied Math and Science |  Mott Hall Bronx High School |  Validus Preparatory Academy: An Expeditionary Lear |  1595 BATHGATE AVENUE CONSOLIDATED LOCATION,0,5,8,2,2,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"1440 STORY AVENUE\n(36.600112, -88.320203)",10473,40.821146,-73.881479,9,17,28,2022544,2036220016,Soundview-Castle Hill-Clason Point-Harding Park
2016 - 17,P.S. X176,X176,X,11,294,3177 WEBSTER AVENUE CONSOLIDATED LOCATION,3,432,CS 214X,P.S. 056 Norwood Heights| Bedford Park Elementary School| P469X - The Bronx School for Continuous Learners| 3177 WEBSTER AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"850 BAYCHESTER AVENUE\n(40.876029, -73.83378)",10475,40.875894,-73.833863,10,12,46201,2116161,2051410150,Co-op City
2016 - 17,P.S. 087 Bronx,X087,X,11,643,,1,487,PS 079X,P.S. X811,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"1935 BUSSING AVENUE\n(40.8951, -73.845968)",10466,40.895104,-73.845968,12,12,428,2069061,2050180001,Woodlawn-Wakefield
2016 - 17,P.S. X721 - Stephen McSweeney School,X721,X,11,412,2474 CROTONA AVENUE CONSOLIDATED LOCATION,3,417,ALFRED E. SMITH HS,Bronx Academy for Software Engineering (BASE) |  Crotona International High School |  High School for Energy and Technology | 2474 CROTONA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"2697 WESTCHESTER AVENUE\n(40.84236, -73.838744)",10461,40.842289,-73.838949,11,13,284,2045725,2041330200,Van Nest-Morris Park-Westchester Square
2016 - 17,The Family School,X443,X,9,169,,1,488,PS 081X,P.S. X088 - S. Silverstein Little Sparrow School,0,0,0,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"1116 SHERIDAN AVENUE\n(46.272598, -96.066943)",10456,40.831992,-73.91796,4,16,18102,2002745,2024560100,East Concourse-Concourse Village
2016 - 17,"The Queens College School for Math, Science and Te",Q499,Q,25,426,207- 01 116TH  AVENUE CONSOLIDATED LOCATION,4,857,JAMAICA HS,"Institute for Health Professions at Cambria Height|Benjamin Franklin High School for Finance & Inform|Mathematics, Science Research and Technology Magne|Law, Government and Community Service High School|Business, Computer Applications & Entrepreneurship|Humanities & Arts Magnet High School|207- 01 116TH  AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"148 20 REEVES AVENUE\n(40.739004, -73.820915)",11367,40.739246,-73.822057,8,24,809,4467571,4065070150,Kew Gardens Hills
2016 - 17,P.S. 315 Lab School,X315,X,10,471,,1,436,GRACE H. DODGE HS,Bronx High School for the Visual Arts,1,4,3,1,2,3C,251-500,0.27,0.9,1.67,0.63,0.44,"2246 JEROME AVENUE\n(40.858049, -73.904087)",10453,40.857842,-73.904202,5,14,239,2014062,2031860049,Fordham South
2016 - 17,P.S. 086 Kingsbridge Heights,X086,X,10,1750,,1,487,PS 079X,P.S. 083 Donald Hertz,1,1,3,1,1,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,"2756 RESERVOIR AVENUE\n(40.869864, -73.898701)",10468,40.869835,-73.89874,7,11,409,2100971,2032470070,Van Cortlandt Village
2016 - 17,High School M560 - City As School,M560,M,2,468,439 WEST 49TH STREET CONSOLIDATED LOCATION,4,671,NORMAN THOMAS HS,Stephen T. Mather Building Arts & Craftsmanship Hi|  BUSINESS OF SPORTS SCHOOL|  Urban Assembly Gateway School for Technology| Success Academy Hell's Kitchen|  439 West 49th Street CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"16 CLARKSON STREET\n(40.729412, -74.006099)",10014,40.729412,-74.006148,2,3,67,1009757,1005810054,West Village
2016 - 17,88-08 164TH STREET,Q314,Q,28,381,,1,NaN,#N/A,Elm Tree Elementary School | 50-51 98th Street,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"88 08 164TH STREET\n(41.59198, -87.527219)",11432,40.70869,-73.79798,12,24,44602,4310514,4098130033,Jamaica
2016 - 17,I.S. 5 - The Walter Crowley Intermediate School,Q005,Q,24,208,,2,678,PS 011M,The Academy for Excellence through the Arts,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"50 40 JACOBUS STREET\n(40.737366, -73.887457)",11373,40.737718,-73.887429,4,25,489,4454423,4024500017,Elmhurst-Maspeth
2016 - 17,1025 MORRISON AVENUE CONSOLIDATED LOCATION,X123,X,8,237,,1,460,MS 399X,M.S. 301 Paul L. Dunbar | Girl's Prep Charter School | 890 Cauldwell Avenue,1,4,4,2,2,2C,1-250,0.24,0.71,1.71,0.51,0.32,"1025 MORRISON AVENUE\n(42.102565, -86.480007)",10472,40.825403,-73.873666,9,18,48,2087014,2037180001,Soundview-Bruckner
2016 - 17,Theatre Arts Production Company School,X225,X,10,394,2441 WALLACE AVENUE CONSOLIDATED LOCATION,3,349,JHS 127X,Bronx Green Middle School |  Pelham Academy of Academics and Community Engageme |  Bronx Park Middle School |  2441 WALLACE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"2225 WEBSTER AVENUE\n(30.061967, -94.792334)",10457,40.854493,-73.896717,5,15,379,2013307,2031430043,Mount Hope
2016 - 17,Collaborative Arts Middle School,Q355,Q,29,331,,1,954,PS 225Q,P.S. 228 Early Childhood Magnet School of the Arts,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"145 00 SPRINGFIELD BOULEVARD\n(32.9068, -83.724836)",11413,40.664597,-73.758748,13,31,320,4285682,4133310001,Springfield Gardens South-Brookville
2016 - 17,3450 EAST TREMONT AVENUE CONSOLIDATED LOCATION,X953,X,8,88,3450 EAST TREMONT AVENUE CONSOLIDATED LOCATION,4,NaN,#N/A,Hospital Schools - Brooklyn|  Hospital Schools|  Hospital Schools - Bronx|  Home Instruction - Bronx|  3450 EAST TREMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"3450 EAST TREMONT AVENUE\n(40.831981, -73.827352)",10465,40.832117,-73.82749,10,13,166,2079386,2055310021,Schuylerville-Throgs Neck-Edgewater Park
2016 - 17,Bronx High School for the Visual Arts,X418,X,11,336,,1,436,GRACE H. DODGE HS,P.S. 207,0,0,1,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"2040 ANTIN PL\n(40.851577, -73.864837)",10462,40.851405,-73.865036,11,13,228,2048811,2042900048,Pelham Parkway
2016 - 17,The Young Scholars Academy of The Bronx,X289,X,11,390,,1,1072,PS 104X,P.S. 112 Bronxwood | 1925 Schieffelin Avenue,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"3710 BARNES AVENUE\n(40.880906, -73.860905)",10467,40.880873,-73.860904,12,12,390,2058396,2046750020,Williamsbridge-Olinville
2016 - 17,WATERSIDE SCHOOL FOR LEADERSHIP,Q318,Q,27,291,,1,951,PS 215Q,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,0,1,0,0,1,3C,251-500,0.27,0.9,1.67,0.63,0.44,"190 BEACH 110 STREET\n(41.936129, -71.000043)",11694,40.580928,-73.831836,14,32,938,4303853,4161810001,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
2016 - 17,I.S. 181 Pablo Casals,X181,X,11,484,850 BAYCHESTER AVENUE CONSOLIDATED LOCATION,2,501,PS 170X,P.S. X176 |  P.S. 178 - Dr. Selman Waksman |  850 BAYCHESTER AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"800 BAYCHESTER AVENUE\n(40.875264, -73.833819)",10475,40.87529,-73.833912,10,12,46201,2116160,2051410150,Co-op City
2016 - 17,P.S. 11 Thomas Dongan School,R011,R,31,575,,1,1122,HORIZONS HIGH SCHOOL,P.S. 6 Corporal Allan F. Kivlehan School,0,0,3,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"50 JEFFERSON STREET\n(40.407198, -80.088971)",10304,40.59057,-74.097722,2,50,9602,5048647,5033030018,Old Town-Dongan Hills-South Beach
2016 - 17,80 MONROE AVENUE CONSOLIDATED LOCATION,R016,R,31,874,100 TOMPKINS AVENUE CONSOLIDATED LOCATION,1,982,PS 003R,PS 78 |  100 TOMPKINS AVENUE CONSOLIDATED LOCATION,0,1,8,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"80 MONROE AVENUE\n(40.562797, -74.359629)",10301,40.6397,-74.079141,1,49,11,5000291,5000180015,West New Brighton-New Brighton-St. George
2016 - 17,Schuylerville Preparatory High School,X348,X,8,641,1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,3,1382,Academy for Scholarship & Entrepreneurship:A College Board School,Arturo A. Schomburg Satellite Academy Bronx|  Bronx Regional High School|  ROADS Charter School II|  1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,0,1,12,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"3000 EAST TREMONT AVENUE\n(40.840314, -73.837651)",10461,40.840702,-73.838545,10,13,194,2074045,2053680001,Schuylerville-Throgs Neck-Edgewater Park
2016 - 17,275 HARLEM RIVER PARK BRIDGE CONSOLIDATED LOCATION,X229,X,9,236,,1,1060,PS 188X,Providing Urban Learners Success In Education High,0,2,1,0,1,2C,1-250,0.24,0.71,1.71,0.51,0.32,"275 HARLEM RIVER PARK B\n(40.852594, -73.921523)",10453,40.852536,-73.921467,5,16,53,2009253,2028820130,University Heights-Morris Heights
2016 - 17,P.S. 057 Hubert H. Humphrey,R057,R,31,776,,1,1006,PS 045R,P.S. 054 Charles W. Leng,0,0,1,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"140 PALMA DRIVE\n(40.611627, -74.083588)",10304,40.611508,-74.083177,1,49,40,5043519,5028880040,Grymes Hill-Clifton-Fox Hills
2016 - 17,P.S. 079 Francis Lewis,Q079,Q,25,1131,,1,773,PS 070Q,J.H.S. 074 Nathaniel Hawthorne,0,1,0,1,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"147 27 15 DRIVE\n(32.970872, -117.26859)",11357,40.785909,-73.818058,7,19,1039,4105232,4046470001,Whitestone
2016 - 17,P.S. 35 The Clove Valley School,R035,R,31,418,,1,989,PS 019R,P.S. 031 William T. Davis,0,0,1,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"60 FOOTE AVENUE\n(40.613892, -74.099048)",10301,40.613721,-74.099626,1,49,47,5015603,5006100127,Grymes Hill-Clifton-Fox Hills
2016 - 17,P.S. 043,Q043,Q,27,611,109-20 UNION HALL STREET CONSOLIDATED LOCATION,2,879,PS 033Q,P.S. 040 Samuel Huntington | Jamaica Children's School | 109-20 UNION HALL STREET CONSOLIDATED LOCATION,0,1,1,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"160 BEACH 29 STREET\n(40.59402, -73.761772)",11691,40.593834,-73.76174,14,31,99802,4467711,4158200001,Far Rockaway-Bayswater
2016 - 17,P.S. 214,X214,X,12,444,250 EAST 164 STREET CONSOLIDATED LOCATION,3,355,MS 158X,Bronx Early College Academy for Teaching & Learnin |  Grant Avenue Elementary School |  Science and Technology Academy: A Mott Hall School |  250 EAST 164 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1970 WEST FARMS ROAD\n(40.839743, -73.8803)",10460,40.839565,-73.880358,6,17,60,2094603,2030210038,Crotona Park East
2016 - 17,J.H.S. 008 Richard S. Grossley,Q008,Q,28,208,,2,678,PS 011M,The Academy for Excellence through the Arts | P.S. 3 | 108-55 69 Avenue,0,0,1,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"108 35 167 STREET\n(40.696766, -73.786934)",11433,40.69719,-73.787192,12,27,258,4216655,4101780001,South Jamaica
2016 - 17,P.S. 360,X360,X,10,619,,1,333,CS 110X,P.S. 204 Morris Heights,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"2880 KINGSBRIDGE TERRACE\n(40.874766, -73.902479)",10463,40.874411,-73.902573,8,14,273,2103864,2032530341,Van Cortlandt Village
