School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Geocode,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
2016 - 17,"I.S. 349 Math, Science & Tech.",K349,K,32,295,35 STARR STREET CONSOLIDATED LOCATION,2,85,PS 110K,"I.S. 347 School of Humanities |  I.S. 349 Math, Science & Tech. |  35 STARR STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"35 STARR STREET\n(44.079404, -69.183525)",11221,40.70069,-73.927481,4,34,423,3072497,3031850001,Bushwick South
2016 - 17,M.S. 053 Brian Piccolo,Q053,Q,27,811,,1,886,PS 042Q,P.S. 050 Talfourd Lawn Elementary School | 143-26 101 Avenue,0,0,2,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"10 45 NAMEOKE STREET\n(40.604063, -73.749254)",11691,40.603622,-73.749097,14,31,103202,4298234,4155570025,Far Rockaway-Bayswater
2016 - 17,"Archimedes Academy for Math, Science and Technolog",X367,X,8,312,,1,1026,HOSTOS-LINCOLN ACADEMY,P.S. 236 Langston Hughes | 1871 Walton Avenue,0,0,1,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"456 WHITE PLAINS ROAD\n(35.006166, -81.729256)",10473,40.814833,-73.85658,9,18,4,2020580,2034780018,Soundview-Castle Hill-Clason Point-Harding Park
2016 - 17,P.S. 335 Granville T. Woods,K335,K,16,351,,1,297,PS 329K,Sunset Park Avenues Elementary School,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"130 ROCHESTER AVENUE\n(40.588152, -73.702658)",11213,40.674656,-73.927794,8,36,307,3035887,3013550023,Crown Heights North
2016 - 17,P.S. 116 Mary Lindley Murray,M116,M,2,531,,1,690,PS 110M,P.S. 115 Alexander Humboldt,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"210 EAST 33 STREET\n(39.052448, -84.500231)",10016,40.744838,-73.978116,6,2,70,1020080,1009130007,Murray Hill-Kips Bay
2016 - 17,P.S. 192 Jacob H. Schiff,M192,M,6,911,,1,623,PS 180M,P.S. 189,0,2,0,2,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"500 WEST 138 STREET\n(42.42416, -72.123709)",10031,40.820953,-73.951145,9,7,22301,1084132,1019880166,Manhattanville
2016 - 17,Edward A. Reynolds West Side High School,M505,M,3,250,2005 MADISON AVENUE CONSOLIDATED LOCATION,2,564,MARTIN LUTHER KING JR. HS (Complex),The Urban Assembly School for Global Commerce|  Harlem Children's Zone Promise Academy II Charter|   2005 MADISON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"140 WEST 102 STREET\n(40.317716, -89.175025)",10025,40.797559,-73.966837,7,7,189,1055911,1018550009,Upper West Side
2016 - 17,P.S. 046 Edward C. Blum,K046,K,13,320,100 CLERMONT AVENUE CONSOLIDATED LOCATION,2,69,PS 045K,P.S. 046 Edward C. Blum |  Fort Greene Preparatory Academy |  100 CLERMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"100 CLERMONT AVENUE\n(40.694593, -73.971146)",11205,40.694633,-73.971165,2,35,187,3058088,3020450011,Fort Greene
2016 - 17,P.S. 127 Mckinley Park,K127,K,20,400,424 LEONARD STREET CONSOLIDATED LOCATION,3,227,PS 124K,John Ericsson Middle School 126| Citizens of the World Charter School 1 Williamsbur| Northside Charter High School| 424 LEONARD STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"7805 7 AVENUE\n(40.623871, -74.018944)",11228,40.624132,-74.018826,10,43,206,3150481,3059730001,Dyker Heights
2016 - 17,P.S. 199 Maurice A. Fitzgerald,Q199,Q,24,959,,1,854,IS 192Q,P.S. 196 Grand Central Parkway,0,0,1,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"39 20 48 AVENUE\n(42.601243, -87.86745)",11104,40.740088,-73.926214,2,26,189,4002915,4002060003,Hunters Point-Sunnyside-West Maspeth
2016 - 17,SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 2(BN),K125,K,14,368,211 THROOP AVENUE CONSOLIDATED LOCATION,2,209,PS 058K,P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"211 THROOP AVENUE\n(40.697579, -73.943814)",11206,40.696733,-73.943652,3,36,28502,3048546,3017490001,Stuyvesant Heights
2016 - 17,P.S. 043 Jonas Bronck,X043,X,7,1061,P.S. 179 |  Young Leaders Elementary School |  468 EAST 140 STREET CONSOLIDATED LOCATION,2,471,PS 030X,P.S. 179 |  Young Leaders Elementary School |  468 EAST 140 STREET CONSOLIDATED LOCATION,0,1,1,1,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"165 BROWN PLACE\n(36.482625, -81.808339)",10454,40.806351,-73.921196,1,8,25,2000205,2022800040,Mott Haven-Port Morris
