ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
918,M207,03M149,P.S. 149 Sojourner Truth,M149,41 WEST 117 STREET,M,3,285,,1,P.S. 149 Sojourner Truth,0,1,2,0,1,3C,251-500,0.27,0.90,1.67,0.63,0.44
919,M208,03M208,P.S. 208 Alain L. Locke,M208,21 WEST 111 STREET,M,3,141,,1,P.S. 208 Alain L. Locke,0,1,2,1,0,2C,1-250,0.24,0.71,1.71,0.51,0.32
920,M218,06M218,I.S. 218 Salome Urena,M218,4600 BROADWAY,M,6,229,4600 BROADWAY CONSOLIDATED LOCATION,3,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
921,M218,06M293,City College Academy of the Arts,M293,4600 BROADWAY,M,6,609,4600 BROADWAY CONSOLIDATED LOCATION,3,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
922,M218,06M322,Middle School 322,M322,4600 BROADWAY,M,6,319,4600 BROADWAY CONSOLIDATED LOCATION,3,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
923,M218,,4600 BROADWAY CONSOLIDATED LOCATION,,4600 BROADWAY,M,6,1157,4600 BROADWAY CONSOLIDATED LOCATION,3,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,1,2,1,2,1,6C,1001-1250,0.57,2.12,3.64,1.39,1.05
924,M223,06M223,The Mott Hall School,M223,71-111 CONVENT AVE,M,6,274,,1,The Mott Hall School,0,0,0,0,0,3C,251-500,0.27,0.90,1.67,0.63,0.44
925,M234,02M234,P.S. 234 Independence School,M234,292 GREENWICH STREET,M,2,704,,1,P.S. 234 Independence School,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
926,M263,06M366,Washington Heights Academy,M366,202 SHERMAN AVE,M,6,511,,1,Washington Heights Academy,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
927,M267,02M267,"East Side Elementary School, PS 267",M267,213 EAST 63RD STREET,M,2,365,,1,"East Side Elementary School, PS 267",0,0,0,0,0,3C,251-500,0.27,0.90,1.67,0.63,0.44
928,M271,02M217,P.S./I.S. 217 Roosevelt Island,M217,645 MAIN STREET,M,2,587,,1,P.S./I.S. 217 Roosevelt Island,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
929,M276,02M276,BATTERY PARK CITY SCHOOL,M276,55 BATTERY PLACE,M,2,872,55 BATTERY PLACE CONSOLIDATED LOCATION,2,P.S. M094 |  BATTERY PARK CITY SCHOOL |  55 BATTERY PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
930,M276,75M094,P.S. M094,M094,55 BATTERY PLACE,M,2,383,55 BATTERY PLACE CONSOLIDATED LOCATION,2,P.S. M094 |  BATTERY PARK CITY SCHOOL |  55 BATTERY PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
931,M276,,55 BATTERY PLACE CONSOLIDATED LOCATION,,55 BATTERY PLACE,M,2,1255,55 BATTERY PLACE CONSOLIDATED LOCATION,2,P.S. M094 |  BATTERY PARK CITY SCHOOL |  55 BATTERY PLACE CONSOLIDATED LOCATION,0,0,0,0,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54
932,M281,02M281,The River School,M281,425 EAST 35TH STREET,M,2,152,,1,The River School,0,0,0,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32
933,M282,02M316,"Urban Assembly School of Business for Young Women,",M316,26 BROADWAY,M,2,359,26 BROADWAY CONSOLIDATED LOCATION,3,Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School |  26 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
934,M282,02M580,Richard R. Green High School of Teaching,M580,26 BROADWAY,M,2,532,26 BROADWAY CONSOLIDATED LOCATION,3,Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School |  26 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
935,M282,02M896,Lower Manhattan Community Middle School,M896,26 BROADWAY,M,2,388,26 BROADWAY CONSOLIDATED LOCATION,3,Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School |  26 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
936,M282,,26 BROADWAY CONSOLIDATED LOCATION,,26 BROADWAY,M,2,1279,26 BROADWAY CONSOLIDATED LOCATION,3,Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School | Urban Assembly School of Business for Young Women l 26 BROADWAY CONSOLIDATED LOCATION,1,7,9,2,2,7C,1251-1500,0.64,3.02,5.77,1.72,1.54
937,M338,02M051,P.S. 051 Elias Howe,M051,525 WEST 44TH STREET,M,2,370,,1,P.S. 051 Elias Howe,0,0,0,0,0,3C,251-500,0.27,0.90,1.67,0.63,0.44
938,M340,02M340,Sixth Avenue Elementary School,M340,590 SIXTH AVENUE,M,2,155,,1,Sixth Avenue Elementary School,0,0,0,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32
939,M371,05M318,Thurgood Marshall Academy Lower School,M318,276 WEST 151ST STREET,M,5,219,,1,Thurgood Marshall Academy Lower School,0,0,0,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32
940,M435,04M435,Manhattan Center for Science and Mathematics,M435,260 PLEASANT AVENUE,M,4,1608,260 PLEASANT AVENUE CONSOLIDATED LOCATION,2,Manhattan Center for Science and Mathematics |  Isaac Newton Middle School for Math & Science |  260 PLEASANT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,8C,1501-1750,N/A,N/A,N/A,N/A,N/A
941,M435,04M825,Isaac Newton Middle School for Math & Science,M825,260 PLEASANT AVENUE,M,4,233,260 PLEASANT AVENUE CONSOLIDATED LOCATION,2,Manhattan Center for Science and Mathematics |  Isaac Newton Middle School for Math & Science |  260 PLEASANT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
942,M435,,260 PLEASANT AVENUE CONSOLIDATED LOCATION,,260 PLEASANT AVENUE,M,4,1841,260 PLEASANT AVENUE CONSOLIDATED LOCATION,2,Manhattan Center for Science and Mathematics |  Isaac Newton Middle School for Math & Science |  260 PLEASANT AVENUE CONSOLIDATED LOCATION,0,4,7,1,2,9C,1751-2000,0.90,3.50,7.25,2.55,1.45
943,M440,02M313,"James Baldwin School, The: A School for Expedition",M313,351 WEST  18 STREET,M,2,265,351 WEST  18 STREET CONSOLIDATED LOCATION,6,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
944,M440,02M392,MANHATTAN BUSINESS ACADEMY,M392,351 WEST  18 STREET,M,2,423,351 WEST  18 STREET CONSOLIDATED LOCATION,6,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
945,M440,02M419,Landmark High School,M419,351 WEST  18 STREET,M,2,370,351 WEST  18 STREET CONSOLIDATED LOCATION,6,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
946,M440,02M422,Quest to Learn,M422,351 WEST  18 STREET,M,2,662,351 WEST  18 STREET CONSOLIDATED LOCATION,6,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
947,M440,02M437,Hudson High School of Learning Technologies,M437,351 WEST  18 STREET,M,2,501,351 WEST  18 STREET CONSOLIDATED LOCATION,6,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
948,M440,02M605,Humanities Preparatory Academy,M605,351 WEST  18 STREET,M,2,209,351 WEST  18 STREET CONSOLIDATED LOCATION,6,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
949,M440,,351 WEST  18 STREET CONSOLIDATED LOCATION,,351 WEST  18 STREET,M,2,2430,351 WEST  18 STREET CONSOLIDATED LOCATION,6,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",3,16,14,12,6,10C,2001-2500,1.69,7.16,17.44,3.63,3.94
950,M445,02M294,Essex Street Academy,M294,350 GRAND STREET,M,2,356,350 GRAND STREET CONSOLIDATED LOCATION,5,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
951,M445,02M305,"Urban Assembly Academy of Government and Law, The",M305,350 GRAND STREET,M,2,331,350 GRAND STREET CONSOLIDATED LOCATION,5,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
952,M445,02M308,Lower Manhattan Arts Academy,M308,350 GRAND STREET,M,2,353,350 GRAND STREET CONSOLIDATED LOCATION,5,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
953,M445,02M543,New Design High School,M543,350 GRAND STREET,M,2,431,350 GRAND STREET CONSOLIDATED LOCATION,5,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
954,M445,02M545,High School for Dual Language and Asian Studies,M545,350 GRAND STREET,M,2,420,350 GRAND STREET CONSOLIDATED LOCATION,5,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
955,M445,,350 GRAND STREET CONSOLIDATED LOCATION,,350 GRAND STREET,M,2,1891,350 GRAND STREET CONSOLIDATED LOCATION,5,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",2,5,12,6,1,9C,1751-2000,0.90,3.50,7.25,2.55,1.45
956,M446,01M448,University Neighborhood High School,M448,200 MONROE STREET,M,1,343,,1,University Neighborhood High School,0,3,5,0,1,3C,251-500,0.27,0.90,1.67,0.63,0.44
957,M451,02M550,Liberty High School Academy for Newcomers,M550,250 WEST  18 STREET,M,2,427,,1,Liberty High School Academy for Newcomers,0,0,1,0,0,3C,251-500,0.27,0.90,1.67,0.63,0.44
958,M460,02M374,Gramercy Arts High School,M374,40 IRVING PLACE,M,2,523,40 IRVING PLACE CONSOLIDATED LOCATION,7,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
959,M460,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,M399,40 IRVING PLACE,M,2,443,40 IRVING PLACE CONSOLIDATED LOCATION,7,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
960,M460,02M438,International High School at Union Square,M438,40 IRVING PLACE,M,2,356,40 IRVING PLACE CONSOLIDATED LOCATION,7,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
961,M460,02M473,Washington Irving Yabc,M473,40 IRVING PLACE,M,2,NaN,40 IRVING PLACE CONSOLIDATED LOCATION,7,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
962,M460,02M533,Union Square Academy for Health Sciences,M533,40 IRVING PLACE,M,2,415,40 IRVING PLACE CONSOLIDATED LOCATION,7,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
963,M460,02M546,Academy for Software Engineering,M546,40 IRVING PLACE,M,2,451,40 IRVING PLACE CONSOLIDATED LOCATION,7,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
964,M460,84M174,Success Academy Union Square (Manhattan 1),M174,40 IRVING PLACE,M,2,347,40 IRVING PLACE CONSOLIDATED LOCATION,7,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
965,M460,,40 IRVING PLACE CONSOLIDATED LOCATION,,40 IRVING PLACE,M,2,2535,40 IRVING PLACE CONSOLIDATED LOCATION,7,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,1,7,26,6,2,10C,2001-2500,1.69,7.16,17.44,3.63,3.94
966,M465,06M457,George Washington Yabc,M457,549 AUDUBON AVENUE,M,6,NaN,549 AUDUBON AVENUE CONSOLIDATED LOCATION,5,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
967,M465,06M462,The College Academy,M462,549 AUDUBON AVENUE,M,6,477,549 AUDUBON AVENUE CONSOLIDATED LOCATION,5,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
968,M465,06M463,High School for Media and Communications,M463,549 AUDUBON AVENUE,M,6,427,549 AUDUBON AVENUE CONSOLIDATED LOCATION,5,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
969,M465,06M467,High School for Law and Public Service,M467,549 AUDUBON AVENUE,M,6,615,549 AUDUBON AVENUE CONSOLIDATED LOCATION,5,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
970,M465,06M468,High School for Health Careers and Sciences,M468,549 AUDUBON AVENUE,M,6,526,549 AUDUBON AVENUE CONSOLIDATED LOCATION,5,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
971,M465,,549 AUDUBON AVENUE CONSOLIDATED LOCATION,,549 AUDUBON AVENUE,M,6,2045,549 AUDUBON AVENUE CONSOLIDATED LOCATION,5,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,2,7,18,2,7,10C,2001-2500,1.69,7.16,17.44,3.63,3.94
972,M470,03M402,The Urban Assembly School for Green Careers,M402,145 WEST  84 STREET,M,3,333,145 WEST  84 STREET CONSOLIDATED LOCATION,5,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
973,M470,03M403,The Global Learning Collaborative,M403,145 WEST  84 STREET,M,3,452,145 WEST  84 STREET CONSOLIDATED LOCATION,5,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
974,M470,03M404,Innovation Diploma Plus,M404,145 WEST  84 STREET,M,3,194,145 WEST  84 STREET CONSOLIDATED LOCATION,5,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
975,M470,03M417,FRANK McCOURT HIGH SCHOOL,M417,145 WEST  84 STREET,M,3,386,145 WEST  84 STREET CONSOLIDATED LOCATION,5,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
976,M470,84M523,Success Academy Charter School - Upper West,M577,145 WEST  84 STREET,M,3,542,145 WEST  84 STREET CONSOLIDATED LOCATION,5,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
977,M470,,145 WEST  84 STREET CONSOLIDATED LOCATION,,145 WEST  84 STREET,M,3,1907,145 WEST  84 STREET CONSOLIDATED LOCATION,5,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,4,6,27,3,5,7C,1251-1500,0.64,3.02,5.77,1.72,1.54
978,M475,02M407,Institute for Collaborative Education,M407,345 EAST  15TH STREET,M,2,484,345 EAST  15TH STREET CONSOLIDATED LOCATION,3,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
979,M475,02M420,High School for Health Professions and Human Servi,M420,345 EAST  15TH STREET,M,2,1700,345 EAST  15TH STREET CONSOLIDATED LOCATION,3,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,8C,1501-1750,N/A,N/A,N/A,N/A,N/A
980,M475,75M226,P.S. M226,M226,345 EAST  15TH STREET,M,2,269,345 EAST  15TH STREET CONSOLIDATED LOCATION,3,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
981,M475,,345 EAST  15TH STREET CONSOLIDATED LOCATION,,345 EAST  15TH STREET,M,2,2453,345 EAST  15TH STREET CONSOLIDATED LOCATION,3,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,1,6,11,3,3,10C,2001-2500,1.69,7.16,17.44,3.63,3.94
982,M477,02M475,Stuyvesant High School,M475,345 CHAMBERS STREET,M,2,3327,,1,Stuyvesant High School,0,2,4,1,0,12C,3001-4000,1.13,8.47,15.33,3.80,3.07
983,M480,02M225,Ella Baker School,M225,317 EAST  67 STREET,M,2,335,317 EAST  67 STREET CONSOLIDATED LOCATION,5,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
984,M480,02M449,Vanguard High School,M449,317 EAST  67 STREET,M,2,461,317 EAST  67 STREET CONSOLIDATED LOCATION,5,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
985,M480,02M459,Manhattan International High School,M459,317 EAST  67 STREET,M,2,342,317 EAST  67 STREET CONSOLIDATED LOCATION,5,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
986,M480,02M519,Talent Unlimited High School,M519,317 EAST  67 STREET,M,2,509,317 EAST  67 STREET CONSOLIDATED LOCATION,5,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
987,M480,02M565,Urban Academy Laboratory High School,M565,317 EAST  67 STREET,M,2,159,317 EAST  67 STREET CONSOLIDATED LOCATION,5,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
988,M480,,317 EAST  67 STREET CONSOLIDATED LOCATION,,317 EAST  67 STREET,M,2,1806,317 EAST  67 STREET CONSOLIDATED LOCATION,5,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,0,2,2,0,2,9C,1751-2000,0.90,3.50,7.25,2.55,1.45
989,M485,03M485,Fiorello H. LaGuardia High School of Music & Art a,M485,100 AMSTERDAM AVENUE,M,3,2713,,1,Fiorello H. LaGuardia High School of Music & Art a,0,4,2,2,0,11C,2501-3000,3.14,13.00,34.86,8.29,5.29
990,M486,02M529,Jacqueline Kennedy Onassis High School,M529,120 WEST  46 STREET,M,2,650,,1,Jacqueline Kennedy Onassis High School,2,7,19,4,3,4C,501-750,0.28,1.11,1.74,0.75,0.53
991,M488,02M059,P.S. 059 Beekman Hill International,M059,231-249 EAST 56 STREET,M,2,573,231-249 EAST 56 STREET CONSOLIDATED LOCATION,2,P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
992,M488,02M630,Art and Design High School,M630,231-249 EAST 56 STREET,M,2,1442,231-249 EAST 56 STREET CONSOLIDATED LOCATION,2,P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,7C,1251-1500,N/A,N/A,N/A,N/A,N/A
