ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
492,K400,21K337,International High School at Lafayette,K337,2630 BENSON AVENUE,K,21,366,2630 BENSON AVENUE CONSOLIDATED LOCATION,5,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
493,K400,21K348,High School of Sports Management,K348,2630 BENSON AVENUE,K,21,262,2630 BENSON AVENUE CONSOLIDATED LOCATION,5,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
494,K400,21K468,Kingsborough Early College School,K468,2630 BENSON AVENUE,K,21,592,2630 BENSON AVENUE CONSOLIDATED LOCATION,5,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
495,K400,21K559,Life Academy High School for Film and Music,K559,2630 BENSON AVENUE,K,21,289,2630 BENSON AVENUE CONSOLIDATED LOCATION,5,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
496,K400,21K572,Expeditionary Learning School for Community Leader,K572,2630 BENSON AVENUE,K,21,283,2630 BENSON AVENUE CONSOLIDATED LOCATION,5,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
497,K400,,2630 BENSON AVENUE CONSOLIDATED LOCATION,,2630 BENSON AVENUE,K,21,1792,2630 BENSON AVENUE CONSOLIDATED LOCATION,5,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,2,7,7,6,2,9C,1751-2000,0.90,3.50,7.25,2.55,1.45
498,K405,22K405,Midwood High School,K405,2839 BEDFORD AVENUE,K,22,3986,,1,Midwood High School,3,6,7,4,3,12C,3001-4000,1.13,8.47,15.33,3.80,3.07
499,K410,21K410,Abraham Lincoln High School,K410,2800 OCEAN PARKWAY,K,21,2108,2800 OCEAN PARKWAY CONSOLIDATED LOCATION,2,Abraham Lincoln High School |  Abraham Lincoln Yabc |  2800 OCEAN PARKWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,10C,2001-2500,N/A,N/A,N/A,N/A,N/A
500,K410,21K411,Abraham Lincoln Yabc,K411,2800 OCEAN PARKWAY,K,21,NaN,2800 OCEAN PARKWAY CONSOLIDATED LOCATION,2,Abraham Lincoln High School |  Abraham Lincoln Yabc |  2800 OCEAN PARKWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
501,K410,,2800 OCEAN PARKWAY CONSOLIDATED LOCATION,,2800 OCEAN PARKWAY,K,21,2108,2800 OCEAN PARKWAY CONSOLIDATED LOCATION,2,Abraham Lincoln High School |  Abraham Lincoln Yabc |  2800 OCEAN PARKWAY CONSOLIDATED LOCATION,4,3,19,3,4,10C,2001-2500,1.69,7.16,17.44,3.63,3.94
502,K415,18K563,It Takes a Village Academy,K563,5800 TILDEN AVENUE,K,18,608,5800 TILDEN AVENUE CONSOLIDATED LOCATION,4,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
503,K415,18K569,Kurt Hahn Expeditionary Learning School,K569,5800 TILDEN AVENUE,K,18,357,5800 TILDEN AVENUE CONSOLIDATED LOCATION,4,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
504,K415,18K629,Cultural Academy for the Arts and Sciences,K629,5800 TILDEN AVENUE,K,18,354,5800 TILDEN AVENUE CONSOLIDATED LOCATION,4,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
505,K415,84K736,New American Academy Charter School,K736,5800 TILDEN AVENUE,K,18,261,5800 TILDEN AVENUE CONSOLIDATED LOCATION,4,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
506,K415,,5800 TILDEN AVENUE CONSOLIDATED LOCATION,,5800 TILDEN AVENUE,K,18,1580,5800 TILDEN AVENUE CONSOLIDATED LOCATION,4,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,4,14,14,9,9,7C,1251-1500,0.64,3.02,5.77,1.72,1.54
507,K420,19K583,Multicultural High School,K583,999 JAMAICA AVENUE,K,19,208,999 JAMAICA AVENUE CONSOLIDATED LOCATION,5,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
508,K420,19K618,Academy of Innovative Technology,K618,999 JAMAICA AVENUE,K,19,406,999 JAMAICA AVENUE CONSOLIDATED LOCATION,5,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
509,K420,19K639,Brooklyn Lab School,K639,999 JAMAICA AVENUE,K,19,330,999 JAMAICA AVENUE CONSOLIDATED LOCATION,5,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
510,K420,19K659,Cypress Hills Collegiate Preparatory School,K659,999 JAMAICA AVENUE,K,19,232,999 JAMAICA AVENUE CONSOLIDATED LOCATION,5,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
511,K420,19K764,The Urban Assembly School for Collaborative Health,K764,999 JAMAICA AVENUE,K,19,154,999 JAMAICA AVENUE CONSOLIDATED LOCATION,5,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
512,K420,,999 JAMAICA AVENUE CONSOLIDATED LOCATION,,999 JAMAICA AVENUE,K,19,1330,999 JAMAICA AVENUE CONSOLIDATED LOCATION,5,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,0,5,32,2,2,7C,1251-1500,0.64,3.02,5.77,1.72,1.54
513,K422,19K404,Academy for Young Writers,K404,1065 ELTON STREET,K,19,584,1065 ELTON STREET CONSOLIDATED LOCATION,2,Academy for Young Writers |  Spring Creek Community School |  1065 ELTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
514,K422,19K422,Spring Creek Community School,K422,1065 ELTON STREET,K,19,312,1065 ELTON STREET CONSOLIDATED LOCATION,2,Academy for Young Writers |  Spring Creek Community School |  1065 ELTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
515,K422,,1065 ELTON STREET CONSOLIDATED LOCATION,,1065 ELTON STREET,K,19,896,1065 ELTON STREET CONSOLIDATED LOCATION,2,Academy for Young Writers |  Spring Creek Community School |  1065 ELTON STREET CONSOLIDATED LOCATION,0,2,5,2,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
516,K425,22K425,James Madison High School,K425,3787 BEDFORD AVENUE,K,22,3250,,1,James Madison High School,1,17,15,4,10,12C,3001-4000,1.13,8.47,15.33,3.80,3.07
517,K430,13K430,Brooklyn Technical High School,K430,29 FT GREENE PLACE,K,13,5534,,1,Brooklyn Technical High School,0,4,6,0,2,13C,4000+,0.33,6.67,7.00,3.33,2.00
518,K435,19K431,Thomas Jefferson Yabc,K431,400 PENNSYLVANIA AVENUE,K,19,NaN,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,5,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
